ID,Oceans,Microplastics Measurement (density),Unit,Concentration Class,Latitude,Longitude,Date,Water Sample Depth (m)
0,Arctic Ocean,0.003,pieces/m3,Low,77.3834,13.8334,2015-05-28,0.45
1,Arctic Ocean,0.009,pieces/m3,Medium,69.0302,-16.62,2015-06-12,0.45
2,Arctic Ocean,0.005,pieces/m3,Medium,65.683,-18.0861,2015-06-19,0.45
3,Arctic Ocean,0.007,pieces/m3,Medium,65.7056,-21.6652,2015-06-19,0.45
4,Arctic Ocean,0.008,pieces/m3,Medium,66.4346,-163.2724,2015-06-26,0.45
5,Arctic Ocean,0.004,pieces/m3,Low,78.9276,11.9374,2015-08-04,0.45
6,Arctic Ocean,0.001,pieces/m3,Low,70.6681,25.3897,2016-05-07,0.45
7,Arctic Ocean,0.003,pieces/m3,Low,78.3,13.93,2016-06-12,0.45
8,Arctic Ocean,0.031,pieces/m3,Medium,81.09,15.5,2016-06-16,0.45
9,Arctic Ocean,0.011,pieces/m3,Medium,79.96,18.62,2016-06-17,0.45
10,Arctic Ocean,0.0,pieces/m3,Very Low,79.0,12.23,2016-06-22,0.45
11,Arctic Ocean,2.5,pieces/m3,High,78.8495,9.399,2016-08-08,8.5
12,Arctic Ocean,63.0,pieces/m3,Very High,80.5628,8.0351,2016-08-09,400.0
13,Arctic Ocean,2.0,pieces/m3,High,80.5442,8.0356,2016-08-09,8.5
14,Arctic Ocean,375.0,pieces/m3,Very High,80.5628,8.0351,2016-08-09,51.0
15,Arctic Ocean,0.0,pieces/m3,Very Low,80.5628,8.0351,2016-08-09,847.0
16,Arctic Ocean,0.0,pieces/m3,Very Low,80.5621,8.0008,2016-08-09,8.0
17,Arctic Ocean,95.0,pieces/m3,Very High,80.5621,8.0008,2016-08-09,400.0
18,Arctic Ocean,21.0,pieces/m3,Very High,80.5628,8.0351,2016-08-09,100.0
19,Arctic Ocean,167.0,pieces/m3,Very High,80.5628,8.0351,2016-08-09,20.0
20,Arctic Ocean,56.0,pieces/m3,Very High,80.5628,8.0351,2016-08-09,8.0
21,Arctic Ocean,95.0,pieces/m3,Very High,80.5621,8.0008,2016-08-09,850.0
22,Arctic Ocean,95.0,pieces/m3,Very High,80.1349,6.1406,2016-08-10,721.0
23,Arctic Ocean,0.0,pieces/m3,Very Low,80.1349,6.1406,2016-08-10,75.0
24,Arctic Ocean,0.5,pieces/m3,Medium,80.4314,6.5595,2016-08-10,8.5
25,Arctic Ocean,148.0,pieces/m3,Very High,80.1349,6.1406,2016-08-10,8.0
26,Arctic Ocean,1.5,pieces/m3,High,80.5066,8.034,2016-08-10,8.5
27,Arctic Ocean,1.0,pieces/m3,High,80.1287,6.0835,2016-08-10,8.5
28,Arctic Ocean,2.0,pieces/m3,High,81.5383,9.7702,2016-08-11,8.5
29,Arctic Ocean,0.5,pieces/m3,Medium,82.2486,10.9693,2016-08-11,8.5
30,Arctic Ocean,7.5,pieces/m3,High,80.9713,8.025,2016-08-11,8.5
31,Arctic Ocean,0.5,pieces/m3,Medium,82.4838,18.381,2016-09-14,8.5
32,Arctic Ocean,0.5,pieces/m3,Medium,82.7728,18.8161,2016-09-14,8.5
33,Arctic Ocean,0.0,pieces/m3,Very Low,81.1909,12.8995,2016-09-15,8.5
34,Arctic Ocean,1.0,pieces/m3,High,81.5187,15.6088,2016-09-15,8.5
35,Arctic Ocean,0.0,pieces/m3,Very Low,78.3693,15.7305,2016-10-16,0.45
36,Arctic Ocean,0.054927,pieces/m3,Medium,77.9713,12.4,2017-08-27,0.0
37,Arctic Ocean,0.014032,pieces/m3,Medium,77.5522,7.809,2017-08-28,0.0
38,Arctic Ocean,0.065916,pieces/m3,Medium,73.6667,-12.9167,2017-08-31,0.0
39,Arctic Ocean,0.03984,pieces/m3,Medium,73.0833,-15.5267,2017-08-31,0.0
40,Arctic Ocean,0.041683,pieces/m3,Medium,66.8833,-9.15,2017-09-16,0.0
41,Arctic Ocean,0.023286,pieces/m3,Medium,66.4183,-2.1367,2017-09-17,0.0
42,Arctic Ocean,0.007992,pieces/m3,Medium,66.5833,-3.7,2017-09-17,0.0
43,Arctic Ocean,0.018355,pieces/m3,Medium,74.7577,2.4995,2018-06-19,0.0
44,Arctic Ocean,0.026251,pieces/m3,Medium,73.1968,-0.6492,2018-06-20,0.0
45,Arctic Ocean,0.028456,pieces/m3,Medium,70.6796,-13.7388,2018-06-23,0.0
46,Arctic Ocean,0.055128,pieces/m3,Medium,63.531,9.2171,2019-07-18,0.0
47,Arctic Ocean,0.007234,pieces/m3,Medium,64.962,10.4017,2019-07-22,0.0
48,Arctic Ocean,0.007412,pieces/m3,Medium,66.3317,12.3802,2019-07-23,0.0
49,Arctic Ocean,0.022057,pieces/m3,Medium,67.3291,14.307,2019-07-30,0.0
50,Arctic Ocean,0.022234,pieces/m3,Medium,67.4561,13.4574,2019-07-31,0.0
51,Arctic Ocean,0.0,pieces/m3,Very Low,68.5944,15.2411,2019-08-07,0.0
52,Arctic Ocean,0.01513,pieces/m3,Medium,69.5503,18.6742,2019-08-18,0.0
53,Arctic Ocean,0.003263,pieces/m3,Low,69.3907,15.9145,2019-08-21,0.0
54,Arctic Ocean,0.029488,pieces/m3,Medium,68.9414,15.367,2019-08-22,0.0
55,Arctic Ocean,0.003265,pieces/m3,Low,68.2406,14.2023,2019-08-23,0.0
56,Arctic Ocean,0.011873,pieces/m3,Medium,68.1752,13.3332,2019-09-08,0.0
57,Arctic Ocean,0.014854,pieces/m3,Medium,67.0007,13.8247,2019-09-13,0.0
58,Arctic Ocean,1.873829,pieces/m3,High,66.8639,41.514,2019-09-17,3.0
59,Arctic Ocean,0.319489,pieces/m3,Medium,69.8774,52.2471,2019-09-18,3.0
60,Arctic Ocean,0.0045,pieces/m3,Low,69.8239,50.5553,2019-09-18,0.2
61,Arctic Ocean,0.017999,pieces/m3,Medium,69.5586,47.7056,2019-09-18,0.2
62,Arctic Ocean,0.643501,pieces/m3,Medium,69.3724,46.5637,2019-09-18,3.0
63,Arctic Ocean,0.0,pieces/m3,Very Low,70.3454,57.6046,2019-09-19,3.0
64,Arctic Ocean,0.433088,pieces/m3,Medium,71.5324,61.2997,2019-09-20,3.0
65,Arctic Ocean,0.013499,pieces/m3,Medium,72.1558,63.1053,2019-09-20,0.2
66,Arctic Ocean,0.0,pieces/m3,Very Low,72.2147,63.2814,2019-09-20,0.2
67,Arctic Ocean,0.0,pieces/m3,Very Low,73.4756,68.2065,2019-09-20,3.0
68,Arctic Ocean,0.640889,pieces/m3,Medium,72.7085,64.8485,2019-09-20,3.0
69,Arctic Ocean,0.0,pieces/m3,Very Low,73.3506,66.885,2019-09-20,0.2
70,Arctic Ocean,0.0,pieces/m3,Very Low,73.2778,66.8139,2019-09-20,0.2
71,Arctic Ocean,0.366138,pieces/m3,Medium,62.4108,5.6512,2019-09-21,0.0
72,Arctic Ocean,0.0,pieces/m3,Very Low,73.6711,69.8025,2019-09-21,0.2
73,Arctic Ocean,0.718907,pieces/m3,Medium,73.7872,71.4121,2019-09-21,3.0
74,Arctic Ocean,0.0,pieces/m3,Very Low,73.8528,72.9964,2019-09-21,0.2
75,Arctic Ocean,0.801068,pieces/m3,Medium,73.8532,75.8897,2019-09-21,3.0
76,Arctic Ocean,0.342259,pieces/m3,Medium,61.8591,5.2692,2019-09-22,0.0
77,Arctic Ocean,0.0,pieces/m3,Very Low,73.8143,73.918,2019-10-16,3.0
78,Arctic Ocean,0.0,pieces/m3,Very Low,73.3198,73.1316,2019-10-16,0.2
79,Arctic Ocean,1.572327,pieces/m3,High,73.3168,69.4573,2019-10-16,3.0
80,Arctic Ocean,1.858736,pieces/m3,High,71.72,61.5682,2019-10-17,3.0
81,Arctic Ocean,0.951777,pieces/m3,Medium,72.5251,64.1342,2019-10-17,3.0
82,Arctic Ocean,0.0,pieces/m3,Very Low,72.588,65.3704,2019-10-17,0.2
83,Arctic Ocean,0.0,pieces/m3,Very Low,71.3828,61.1794,2019-10-17,0.2
84,Arctic Ocean,1.731302,pieces/m3,High,70.7802,58.3867,2019-10-18,3.0
85,Arctic Ocean,0.27465,pieces/m3,Medium,69.8217,50.7142,2019-10-19,3.0
86,Arctic Ocean,0.0,pieces/m3,Very Low,68.5913,44.1215,2019-10-19,0.2
87,Arctic Ocean,0.0,pieces/m3,Very Low,69.4582,49.2356,2019-10-19,0.2
88,Arctic Ocean,1.851852,pieces/m3,High,68.1683,43.2968,2019-10-20,3.0
89,Arctic Ocean,0.0,pieces/m3,Very Low,66.1312,40.2519,2019-10-20,0.2
90,Arctic Ocean,0.0,pieces/m3,Very Low,65.485,39.4665,2019-10-20,0.2
91,Arctic Ocean,0.013499,pieces/m3,Medium,67.2771,41.1985,2019-10-20,0.2
92,Arctic Ocean,0.030121,pieces/m3,Medium,64.0445,9.5832,2020-06-23,0.0
93,Arctic Ocean,0.031305,pieces/m3,Medium,66.3962,12.9813,2020-06-26,0.0
94,Arctic Ocean,0.012515,pieces/m3,Medium,68.154,14.7587,2020-06-27,0.0
95,Arctic Ocean,0.016713,pieces/m3,Medium,69.1403,17.698,2020-06-29,0.0
96,Arctic Ocean,0.012493,pieces/m3,Medium,70.9943,20.609,2020-07-16,0.0
97,Arctic Ocean,0.05051,pieces/m3,Medium,73.2678,19.7345,2020-07-17,0.0
98,Arctic Ocean,0.009274,pieces/m3,Medium,75.817,17.5457,2020-07-19,0.0
99,Arctic Ocean,0.008001,pieces/m3,Medium,77.6327,13.5487,2020-07-20,0.0
100,Arctic Ocean,0.005661,pieces/m3,Medium,78.511,16.09,2020-07-25,0.0
101,Arctic Ocean,0.027929,pieces/m3,Medium,78.9732,11.2403,2020-07-29,0.0
102,Atlantic Ocean,0.014388,pieces/m3,Medium,36.45,-64.88,1986-10-17,0.0
103,Atlantic Ocean,0.014388,pieces/m3,Medium,35.48,-63.7,1986-10-18,0.0
104,Atlantic Ocean,0.053968,pieces/m3,Medium,31.83,-61.32,1986-10-20,0.0
105,Atlantic Ocean,0.071956,pieces/m3,Medium,30.97,-60.68,1986-10-20,0.0
106,Atlantic Ocean,0.077776,pieces/m3,Medium,29.52,-60.5,1986-10-21,0.0
107,Atlantic Ocean,0.032396,pieces/m3,Medium,30.4,-60.58,1986-10-21,0.0
108,Atlantic Ocean,0.0,pieces/m3,Very Low,26.87,-59.0,1986-10-22,0.0
109,Atlantic Ocean,0.177776,pieces/m3,Medium,26.03,-58.63,1986-10-23,0.0
110,Atlantic Ocean,0.10318,pieces/m3,Medium,23.37,-57.27,1986-10-24,0.0
111,Atlantic Ocean,0.0,pieces/m3,Very Low,20.72,-56.75,1986-10-26,0.0
112,Atlantic Ocean,0.0,pieces/m3,Very Low,16.83,-57.93,1986-10-27,0.0
113,Atlantic Ocean,0.0,pieces/m3,Very Low,15.02,-57.67,1986-10-28,0.0
114,Atlantic Ocean,0.0,pieces/m3,Very Low,16.03,-57.87,1986-10-28,0.0
115,Atlantic Ocean,0.0,pieces/m3,Very Low,14.02,-58.95,1986-10-29,0.0
116,Atlantic Ocean,0.0,pieces/m3,Very Low,11.83,-60.83,1986-10-30,0.0
117,Atlantic Ocean,0.0,pieces/m3,Very Low,11.28,-61.0,1986-10-30,0.0
118,Atlantic Ocean,0.0,pieces/m3,Very Low,12.13,-61.78,1986-11-04,0.0
119,Atlantic Ocean,0.0,pieces/m3,Very Low,13.33,-61.25,1986-11-05,0.0
120,Atlantic Ocean,0.009392,pieces/m3,Medium,31.82,-66.15,1987-04-20,0.0
121,Atlantic Ocean,0.820736,pieces/m3,Medium,32.71,-64.76,1987-04-24,0.0
122,Atlantic Ocean,0.097192,pieces/m3,Medium,32.71,-64.76,1987-04-24,0.0
123,Atlantic Ocean,0.02376,pieces/m3,Medium,33.54,-65.63,1987-04-25,0.0
124,Atlantic Ocean,0.052796,pieces/m3,Medium,33.54,-65.63,1987-04-25,0.0
125,Atlantic Ocean,0.00864,pieces/m3,Medium,34.68,-66.58,1987-04-27,0.0
126,Atlantic Ocean,0.01512,pieces/m3,Medium,35.52,-66.75,1987-05-28,0.0
127,Atlantic Ocean,0.0108,pieces/m3,Medium,35.52,-66.75,1987-05-28,0.0
128,Atlantic Ocean,0.145016,pieces/m3,Medium,34.9,-64.77,1987-05-29,0.0
129,Atlantic Ocean,0.185744,pieces/m3,Medium,33.9,-64.45,1987-05-30,0.0
130,Atlantic Ocean,0.224624,pieces/m3,Medium,33.9,-64.45,1987-05-30,0.0
131,Atlantic Ocean,0.055196,pieces/m3,Medium,34.37,-64.63,1987-05-30,0.0
132,Atlantic Ocean,0.022464,pieces/m3,Medium,34.37,-64.63,1987-05-30,0.0
133,Atlantic Ocean,0.082072,pieces/m3,Medium,34.65,-64.98,1987-05-30,0.0
134,Atlantic Ocean,0.136788,pieces/m3,Medium,32.38,-64.17,1987-05-31,0.0
135,Atlantic Ocean,0.0,pieces/m3,Very Low,32.83,-64.85,1987-06-05,0.0
136,Atlantic Ocean,0.0234,pieces/m3,Medium,32.83,-64.85,1987-06-05,0.0
137,Atlantic Ocean,0.053996,pieces/m3,Medium,33.77,-65.42,1987-06-05,0.0
138,Atlantic Ocean,0.064796,pieces/m3,Medium,33.77,-65.42,1987-06-05,0.0
139,Atlantic Ocean,0.005144,pieces/m3,Medium,33.87,-65.73,1987-06-06,0.0
140,Atlantic Ocean,0.00216,pieces/m3,Low,33.87,-65.73,1987-06-06,0.0
141,Atlantic Ocean,0.041036,pieces/m3,Medium,32.9,-64.68,1987-06-08,0.0
142,Atlantic Ocean,0.064796,pieces/m3,Medium,32.9,-64.68,1987-06-08,0.0
143,Atlantic Ocean,0.037436,pieces/m3,Medium,33.38,-64.87,1987-06-08,0.0
144,Atlantic Ocean,0.069116,pieces/m3,Medium,35.62,-65.95,1987-06-10,0.0
145,Atlantic Ocean,0.010368,pieces/m3,Medium,35.62,-65.95,1987-06-10,0.0
146,Atlantic Ocean,0.028796,pieces/m3,Medium,36.37,-66.48,1987-06-11,0.0
147,Atlantic Ocean,0.0108,pieces/m3,Medium,40.57,-66.53,1987-06-13,0.0
148,Atlantic Ocean,0.00432,pieces/m3,Low,41.45,-65.98,1987-06-13,0.0
149,Atlantic Ocean,0.0,pieces/m3,Very Low,41.45,-65.98,1987-06-13,0.0
150,Atlantic Ocean,0.0,pieces/m3,Very Low,16.43,-63.6,1987-12-03,0.0
151,Atlantic Ocean,0.001728,pieces/m3,Low,16.43,-63.6,1987-12-04,0.0
152,Atlantic Ocean,0.008228,pieces/m3,Medium,15.9,-62.75,1987-12-04,0.0
153,Atlantic Ocean,0.00864,pieces/m3,Medium,15.9,-62.75,1987-12-04,0.0
154,Atlantic Ocean,0.004152,pieces/m3,Low,15.26,-62.65,1987-12-05,0.0
155,Atlantic Ocean,0.067676,pieces/m3,Medium,14.37,-62.48,1987-12-05,0.0
156,Atlantic Ocean,0.159496,pieces/m3,Medium,14.33,-62.45,1987-12-05,0.0
157,Atlantic Ocean,0.00216,pieces/m3,Low,15.26,-62.65,1987-12-05,0.0
158,Atlantic Ocean,0.033116,pieces/m3,Medium,15.13,-62.03,1987-12-06,0.0
159,Atlantic Ocean,0.0048,pieces/m3,Low,15.13,-62.03,1987-12-06,0.0
160,Atlantic Ocean,0.00432,pieces/m3,Low,13.95,-61.88,1987-12-06,0.0
161,Atlantic Ocean,0.0,pieces/m3,Very Low,13.95,-61.88,1987-12-06,0.0
162,Atlantic Ocean,0.0,pieces/m3,Very Low,13.27,-61.47,1987-12-07,0.0
164,Atlantic Ocean,0.0,pieces/m3,Very Low,12.13,-64.27,1987-12-11,0.0
165,Atlantic Ocean,0.0,pieces/m3,Very Low,12.5,-62.03,1987-12-11,0.0
167,Atlantic Ocean,0.0108,pieces/m3,Medium,12.39,-63.05,1987-12-11,0.0
168,Atlantic Ocean,0.00432,pieces/m3,Low,12.39,-63.05,1987-12-11,0.0
169,Atlantic Ocean,0.0,pieces/m3,Very Low,12.13,-64.27,1987-12-12,0.0
170,Atlantic Ocean,0.00648,pieces/m3,Medium,12.43,-65.48,1987-12-12,0.0
171,Atlantic Ocean,0.0,pieces/m3,Very Low,12.43,-65.48,1987-12-12,0.0
172,Atlantic Ocean,0.0,pieces/m3,Very Low,12.45,-66.55,1987-12-13,0.0
173,Atlantic Ocean,0.0,pieces/m3,Very Low,12.47,-66.52,1987-12-13,0.0
174,Atlantic Ocean,0.0,pieces/m3,Very Low,12.27,-67.5,1987-12-13,0.0
176,Atlantic Ocean,0.092872,pieces/m3,Medium,34.67,-66.21,1989-05-28,0.0
177,Atlantic Ocean,0.0,pieces/m3,Very Low,35.1,-66.71,1989-05-28,0.0
178,Atlantic Ocean,0.071276,pieces/m3,Medium,35.1,-66.71,1989-05-28,0.0
179,Atlantic Ocean,0.110152,pieces/m3,Medium,32.79,-65.16,1989-05-29,0.0
180,Atlantic Ocean,0.116632,pieces/m3,Medium,33.44,-65.72,1989-05-29,0.0
181,Atlantic Ocean,0.095032,pieces/m3,Medium,34.67,-66.21,1989-05-29,0.0
182,Atlantic Ocean,0.159828,pieces/m3,Medium,32.79,-65.16,1989-05-30,0.0
183,Atlantic Ocean,0.064796,pieces/m3,Medium,32.53,-64.61,1989-06-02,0.0
184,Atlantic Ocean,0.110392,pieces/m3,Medium,32.53,-64.61,1989-06-02,0.0
185,Atlantic Ocean,0.172788,pieces/m3,Medium,33.75,-64.93,1989-06-03,0.0
186,Atlantic Ocean,0.086392,pieces/m3,Medium,33.25,-64.86,1989-06-03,0.0
187,Atlantic Ocean,0.369332,pieces/m3,Medium,33.25,-64.86,1989-06-03,0.0
188,Atlantic Ocean,0.0,pieces/m3,Very Low,33.75,-64.93,1989-06-04,0.0
189,Atlantic Ocean,0.285096,pieces/m3,Medium,34.17,-65.2,1989-06-04,0.0
190,Atlantic Ocean,0.054976,pieces/m3,Medium,35.09,-65.58,1989-06-05,0.0
191,Atlantic Ocean,0.00864,pieces/m3,Medium,35.09,-65.58,1989-06-05,0.0
192,Atlantic Ocean,0.007852,pieces/m3,Medium,35.82,-65.81,1989-06-05,0.0
193,Atlantic Ocean,0.00648,pieces/m3,Medium,35.82,-65.81,1989-06-06,0.0
194,Atlantic Ocean,0.02376,pieces/m3,Medium,35.82,-65.81,1989-06-06,0.0
195,Atlantic Ocean,0.034556,pieces/m3,Medium,35.82,-65.81,1989-06-06,0.0
196,Atlantic Ocean,0.0,pieces/m3,Very Low,39.12,-66.41,1989-06-07,0.0
197,Atlantic Ocean,0.0036,pieces/m3,Low,39.12,-66.41,1989-06-08,0.0
198,Atlantic Ocean,0.118792,pieces/m3,Medium,40.94,-67.32,1989-07-19,0.0
199,Atlantic Ocean,0.034556,pieces/m3,Medium,40.94,-67.32,1989-07-19,0.0
200,Atlantic Ocean,0.01728,pieces/m3,Medium,41.6,-66.48,1989-07-20,0.0
202,Atlantic Ocean,0.0,pieces/m3,Very Low,39.88,-67.15,1989-10-14,0.0
203,Atlantic Ocean,0.535636,pieces/m3,Medium,37.83,-63.73,1989-10-17,0.0
204,Atlantic Ocean,0.043196,pieces/m3,Medium,37.83,-63.73,1989-10-17,0.0
205,Atlantic Ocean,0.069116,pieces/m3,Medium,36.9,-63.38,1989-10-18,0.0
206,Atlantic Ocean,0.084232,pieces/m3,Medium,36.9,-63.38,1989-10-18,0.0
207,Atlantic Ocean,0.01152,pieces/m3,Medium,34.7,-61.98,1989-10-19,0.0
208,Atlantic Ocean,0.299496,pieces/m3,Medium,35.7,-61.98,1989-10-19,0.0
209,Atlantic Ocean,0.00864,pieces/m3,Medium,34.87,-57.38,1989-10-22,0.0
210,Atlantic Ocean,0.035992,pieces/m3,Medium,34.87,-57.38,1989-10-22,0.0
211,Atlantic Ocean,0.028232,pieces/m3,Medium,32.65,-57.2,1989-10-23,0.0
212,Atlantic Ocean,0.151188,pieces/m3,Medium,32.65,-57.2,1989-10-23,0.0
213,Atlantic Ocean,0.011628,pieces/m3,Medium,22.9,-59.27,1989-10-29,0.0
214,Atlantic Ocean,0.0368,pieces/m3,Medium,22.9,-59.27,1989-10-29,0.0
215,Atlantic Ocean,0.0,pieces/m3,Very Low,17.8,-64.32,1989-11-28,0.0
217,Atlantic Ocean,0.00432,pieces/m3,Low,17.97,-64.61,1989-12-01,0.0
218,Atlantic Ocean,0.0,pieces/m3,Very Low,17.0,-63.72,1989-12-01,0.0
219,Atlantic Ocean,0.00576,pieces/m3,Medium,17.0,-63.72,1989-12-01,0.0
220,Atlantic Ocean,0.00432,pieces/m3,Low,16.47,-63.63,1989-12-01,0.0
221,Atlantic Ocean,0.00648,pieces/m3,Medium,16.47,-63.63,1989-12-01,0.0
222,Atlantic Ocean,0.00432,pieces/m3,Low,16.63,-63.5,1989-12-02,0.0
223,Atlantic Ocean,0.00216,pieces/m3,Low,16.63,-63.5,1989-12-02,0.0
224,Atlantic Ocean,0.00216,pieces/m3,Low,16.66,-64.37,1989-12-02,0.0
225,Atlantic Ocean,0.00432,pieces/m3,Low,16.71,-62.51,1989-12-03,0.0
226,Atlantic Ocean,0.0,pieces/m3,Very Low,16.97,-62.68,1989-12-03,0.0
227,Atlantic Ocean,0.01512,pieces/m3,Medium,16.97,-62.68,1989-12-03,0.0
228,Atlantic Ocean,0.00216,pieces/m3,Low,15.98,-62.68,1989-12-03,0.0
229,Atlantic Ocean,0.0036,pieces/m3,Low,16.6,-63.07,1989-12-03,0.0
230,Atlantic Ocean,0.0,pieces/m3,Very Low,16.6,-63.07,1989-12-03,0.0
231,Atlantic Ocean,0.0,pieces/m3,Very Low,15.55,-62.17,1989-12-04,0.0
232,Atlantic Ocean,0.00864,pieces/m3,Medium,15.55,-62.17,1989-12-04,0.0
233,Atlantic Ocean,0.0108,pieces/m3,Medium,16.08,-62.2,1989-12-04,0.0
234,Atlantic Ocean,0.00648,pieces/m3,Medium,16.08,-62.2,1989-12-04,0.0
235,Atlantic Ocean,0.0,pieces/m3,Very Low,15.1,-61.98,1989-12-05,0.0
237,Atlantic Ocean,0.0,pieces/m3,Very Low,13.98,-61.7,1989-12-05,0.0
239,Atlantic Ocean,0.00216,pieces/m3,Low,14.37,-61.84,1989-12-05,0.0
240,Atlantic Ocean,0.00648,pieces/m3,Medium,12.22,-61.77,1989-12-07,0.0
241,Atlantic Ocean,0.0,pieces/m3,Very Low,12.22,-61.77,1989-12-07,0.0
242,Atlantic Ocean,0.0,pieces/m3,Very Low,12.48,-61.47,1989-12-09,0.0
243,Atlantic Ocean,0.0,pieces/m3,Very Low,12.65,-62.57,1989-12-12,0.0
244,Atlantic Ocean,0.00216,pieces/m3,Low,12.65,-62.57,1989-12-12,0.0
245,Atlantic Ocean,0.0,pieces/m3,Very Low,13.05,-63.12,1989-12-12,0.0
247,Atlantic Ocean,0.0,pieces/m3,Very Low,14.68,-64.43,1989-12-13,0.0
249,Atlantic Ocean,0.0,pieces/m3,Very Low,13.5,-63.35,1989-12-13,0.0
250,Atlantic Ocean,0.008232,pieces/m3,Medium,13.5,-63.35,1989-12-13,0.0
251,Atlantic Ocean,0.003928,pieces/m3,Low,14.93,-66.75,1989-12-14,0.0
252,Atlantic Ocean,0.00432,pieces/m3,Low,16.48,-65.9,1989-12-14,0.0
254,Atlantic Ocean,0.0,pieces/m3,Very Low,15.8,-65.3,1989-12-14,0.0
256,Atlantic Ocean,0.00432,pieces/m3,Low,17.23,-66.87,1989-12-15,0.0
257,Atlantic Ocean,0.0108,pieces/m3,Medium,17.23,-66.87,1989-12-15,0.0
258,Atlantic Ocean,0.0,pieces/m3,Very Low,16.6,-66.1,1989-12-15,0.0
259,Atlantic Ocean,0.0027,pieces/m3,Low,16.6,-66.1,1989-12-15,0.0
260,Atlantic Ocean,0.00432,pieces/m3,Low,17.98,-63.98,1990-01-02,0.0
261,Atlantic Ocean,0.794816,pieces/m3,Medium,31.16,-67.29,1990-05-01,0.0
262,Atlantic Ocean,0.207344,pieces/m3,Medium,29.2,-67.2,1990-05-01,0.0
263,Atlantic Ocean,0.025916,pieces/m3,Medium,31.72,-65.07,1990-05-02,0.0
264,Atlantic Ocean,0.00648,pieces/m3,Medium,30.28,-66.4,1990-05-02,0.0
265,Atlantic Ocean,0.043196,pieces/m3,Medium,30.28,-66.42,1990-05-02,0.0
266,Atlantic Ocean,0.082072,pieces/m3,Medium,29.28,-67.2,1990-05-02,0.0
267,Atlantic Ocean,0.00648,pieces/m3,Medium,30.67,-66.1,1990-05-03,0.0
268,Atlantic Ocean,0.006912,pieces/m3,Medium,40.18,-64.8,1990-10-14,0.0
269,Atlantic Ocean,0.00216,pieces/m3,Low,39.03,-62.98,1990-10-15,0.0
270,Atlantic Ocean,0.00216,pieces/m3,Low,39.0,-63.12,1990-10-16,0.0
271,Atlantic Ocean,0.01728,pieces/m3,Medium,37.27,-51.32,1990-10-23,0.0
272,Atlantic Ocean,0.034556,pieces/m3,Medium,37.27,-51.32,1990-10-24,0.0
273,Atlantic Ocean,0.025916,pieces/m3,Medium,18.47,-64.45,1991-01-14,0.0
274,Atlantic Ocean,0.00864,pieces/m3,Medium,17.52,-64.6,1991-02-15,0.0
275,Atlantic Ocean,0.00216,pieces/m3,Low,16.63,-63.63,1991-02-16,0.0
277,Atlantic Ocean,0.00216,pieces/m3,Low,15.68,-62.83,1991-02-17,0.0
279,Atlantic Ocean,0.00216,pieces/m3,Low,14.17,-62.08,1991-02-18,0.0
280,Atlantic Ocean,0.00216,pieces/m3,Low,13.28,-61.38,1991-02-19,0.0
281,Atlantic Ocean,0.023684,pieces/m3,Medium,31.43,-67.13,1991-05-03,0.0
282,Atlantic Ocean,0.045356,pieces/m3,Medium,31.43,-67.13,1991-05-03,0.0
283,Atlantic Ocean,0.077752,pieces/m3,Medium,32.08,-65.2,1991-05-04,0.0
284,Atlantic Ocean,0.024308,pieces/m3,Medium,32.08,-65.2,1991-05-04,0.0
285,Atlantic Ocean,0.060476,pieces/m3,Medium,33.73,-64.85,1991-05-09,0.0
286,Atlantic Ocean,0.0,pieces/m3,Very Low,33.73,-64.85,1991-05-09,0.0
287,Atlantic Ocean,0.00648,pieces/m3,Medium,34.95,-64.75,1991-05-09,0.0
288,Atlantic Ocean,0.0072,pieces/m3,Medium,34.95,-64.75,1991-05-10,0.0
289,Atlantic Ocean,0.062636,pieces/m3,Medium,29.7,-66.8,1991-05-12,0.0
290,Atlantic Ocean,0.039604,pieces/m3,Medium,34.45,-65.72,1991-05-12,0.0
291,Atlantic Ocean,0.034556,pieces/m3,Medium,34.45,-65.72,1991-05-12,0.0
292,Atlantic Ocean,0.00648,pieces/m3,Medium,39.31,-66.02,1991-05-12,0.0
293,Atlantic Ocean,0.028076,pieces/m3,Medium,39.31,-66.02,1991-05-12,0.0
294,Atlantic Ocean,0.086368,pieces/m3,Medium,30.6,-65.85,1991-05-13,0.0
295,Atlantic Ocean,0.02,pieces/m3,Medium,31.68,-64.67,1991-05-14,0.0
296,Atlantic Ocean,0.02,pieces/m3,Medium,31.23,-65.32,1991-05-14,0.0
297,Atlantic Ocean,0.00648,pieces/m3,Medium,42.13,-62.23,1991-08-15,0.0
298,Atlantic Ocean,0.356372,pieces/m3,Medium,37.18,-66.13,1991-10-13,0.0
299,Atlantic Ocean,0.153348,pieces/m3,Medium,37.18,-66.13,1991-10-13,0.0
300,Atlantic Ocean,0.002228,pieces/m3,Low,39.57,-66.27,1991-10-13,0.0
301,Atlantic Ocean,0.00216,pieces/m3,Low,39.57,-66.27,1991-10-13,0.0
302,Atlantic Ocean,0.0,pieces/m3,Very Low,37.47,-66.97,1991-10-13,0.0
303,Atlantic Ocean,0.01944,pieces/m3,Medium,37.47,-66.97,1991-10-13,0.0
304,Atlantic Ocean,0.0,pieces/m3,Very Low,39.29,-65.69,1991-10-14,0.0
